,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
3670,1352685,branded_food,PEPPERMINT PATTIES,,2021-02-26,The Hershey Company,YORK,,34000049110,"MALTITOL; CHOCOLATE*; ISOMALT; MALTITOL SYRUP; COCOA BUTTER; MILK FAT; CONTAINS 2% OR LESS OF: COCOA PROCESSED WITH ALKALI*; POLYDEXTROSE; SOY LECITHIN; PGPR, EMULSIFIER; OIL OF PEPPERMINT; VANILLIN, ARTIFICIAL FLAVOR; MILK*.",,37.0,g,,Chocolate,LI,,2017-11-07,2021-02-26,United States,,,,
3672,1353218,branded_food,"VIRGINIA PEANUTS, LIGHTLY SALTED",,2021-02-26,"Giant Eagle, Inc.",MARKET DISTRICT,,3003491225,"PEANUTS, PEANUT OIL, SEA SALT.",,30.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2019-05-06,2021-02-26,United States,,,,
3676,1354423,branded_food,"CRISP WAFERS IN MILK CHOCOLATE, WHITE CREME & MILDLY SWEET DRAK CHOCOLATE",,2021-02-26,The Hershey Company,KITKAT,,34000225101,"SUGAR; VEGETABLE OIL (COCOA BUTTER, PALM KERNEL, PALM, SHEA, SUNFLOWER AND/OR SAFFLOWER OIL) WHEAT FLOUR; CHOCOLATE; NONFAT MILK; MILK FAT; CONTAINS 2% OR LESS OF: LACTOSE (MILK); CORN SYRUP SOLIDS; COCOA PROCESSED WITH ALKALI; SOY LECITHIN; PGPR, EMULSIFIER; YEAST; SALT; VANILLIN, ARTIFICIAL FLAVOR; SODIUM BICARBONATE; TOCOPHEROLS, TO MAINTAIN FRESHNESS.",,43.0,g,,Cookies & Biscuits,LI,,2019-02-06,2021-02-26,United States,,,,
3680,1355289,branded_food,ORGANIC SUNSHINE COAST BLEND,,2021-02-26,"Associated Wholesale Grocers, Inc.",CLEARLY ORGANIC,,70038645818,"ORGANIC CASHEWS (ORGANIC CASHEWS, ORGANIC CANOLA OIL, SEA SALT), ORGANIC CRANBERRIES (ORGANIC CRANBERRIES, ORGANIC SUGAR, ORGANIC SUNFLOWER OIL), ORGANIC DARK CHOCOLATE BANANA (ORGANIC DARK CHOCOLATE COATING [ORGANIC CANE SUGAR, ORGANIC UNSWEETENED CHOCOLATE, ORGANIC COCOA BUTTER, ORGANIC SOY LECITHIN (AN EMULSIFIER), ORGANIC VANILLA], ORGANIC BANANA [ORGANIC BANANA, ORGANIC RICE FLOUR], PURE FOOD GLAZE), ORGANIC MANGO PIECES, ORGANIC THOMPSON RAISINS (ORGANIC RAISINS, ORGANIC SUNFLOWER SEED OIL), ORGANIC COCONUT CHIPS.",,30.0,g,,Other Snacks,LI,,2019-12-17,2021-02-26,United States,,,,
3681,1355354,branded_food,SMOKY COASTAL BLEND,,2021-02-26,The Squirrel Brand Co,SOUTHERN STYLE NUTS,,85839710047,"DRIED SWEETENED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), SMOKE FLAVORED ALMONDS (ALMONDS, VEGETABLE OIL [PEANUT, COTTONSEED, SOYBEAN, SAFFLOWER AND/OR SUNFLOWER SEED], CONTAINS LESS THAN 2% OF THE FOLLOWING: SALT, HYDROLYZED SOY PROTEIN, YEAST EXTRACT, BROWN SUGAR, NATURAL HICKORY SMOKE FLAVOR, TORULA YEAST, NATURAL FLAVOR, LIPOLYZED BUTTER OIL [MILK]).",,40.0,g,,Other Snacks,LI,,2018-07-21,2021-02-26,United States,,,,
3682,1355486,branded_food,"CHIPOTLE & ONION AGED CHEDDAR CHEESE, CHIPOTLE & ONION",,2021-02-26,"Allied Dairy Products, Inc.",OLD CROC,,891613000675,"CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, ENZYMES {VEGETABLE RENNET}), WATER, SODIUM PHOSPHATE, CHIPOTLE PEPPERS, SALT, ONION POWDER, RED AND GREEN JALAPENO PEPPERS, SORBIC ACID (PRESERVATIVE), PARSLEY FLAKES.",,28.0,g,,Cheese,LI,,2020-01-27,2021-02-26,United States,,,,
3686,1355937,branded_food,CHOPPED WALNUTS,,2021-02-26,Raley's,RALEY'S,,46567015057,WALNUTS.,,30.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2019-01-18,2021-02-26,United States,,,,
3688,1356611,branded_food,THIN MINTS,,2021-02-26,New England Confectionery Company Inc.,HAVILAND,,11215659945,"SUGAR, SWEET CHOCOLATE [SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, BUTTER OIL, SOY LECITHIN, VANILLA EXTRACT], CORN SYRUP, NATURAL FLAVOR, ANNATTO, SOY PROTEIN, INVERTASE, PEPPERMINT OIL.",,30.0,g,,Cookies & Biscuits,LI,,2018-01-19,2021-02-26,United States,,,,
3694,1357498,branded_food,"JUICE BLEND FROM CONCENTRATE, PINEAPPLE ORANGE",,2021-02-26,"Tops Markets, LLC",TOPS,,7078401310,"100% FRUIT JUICE FROM CONCENTRATE (FILTERED WATER, CONCENTRATED PINEAPPLE JUICE, CONCENTRATE APPLE JUICE, CONCENTRATED ORANGE JUICE), ASCORBIC ACID (VITAMIN C), CITRIC ACID.",,240.0,ml,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,,2019-05-06,2021-02-26,United States,,,,
3697,1357938,branded_food,"CROUTONS, GARLIC & BUTTER",,2021-02-26,"Associated Wholesale Grocers, Inc.",BEST CHOICE,,70038617716,"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), CANOLA AND/OR SUNFLOWER OIL (WITH ROSEMARY EXTRACT AND ASCORBIC ACID [TO PRESERVE FRESHNESS]), GARLIC POWDER, YEAST, SALT, SUGAR, 2% OR LESS OF NATURAL BUTTER FLAVOR (MILK), MALTODEXTRIN, TURMERIC POWDER (COLOR), ENZYMES, ASCORBIC ACID.",,7.0,g,,Breads & Buns,LI,,2019-12-17,2021-02-26,United States,,,,
3703,1358557,branded_food,FUDGE BARS,,2021-02-26,"Iga, Inc.",IGA,,41270041751,"WATER, CORN SYRUP, WHEY, HIGH FRUCTOSE CORN SYRUP, BUTTERMILK, MILKFAT AND NONFAT MILK, SUGAR, COCOA PROCESSED WITH ALKALI, COCOA, WHEAT FLOUR, MONO & DIGLYCERIDES, GUAR GUM, CAROB BEAN GUM, POLYSORBATE 80, CARRAGEENAN, SOY LECITHIN, MALT.",,77.0,g,,Ice Cream & Frozen Yogurt,LI,,2018-01-19,2021-02-26,United States,,,,
3707,1359102,branded_food,SOURDOUGH ENGLISH MUFFINS,,2021-02-26,United States Bakery,FRANZ,,72220005226,"WATER, ENRICHED UNBLEACHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN AND FOLIC ACID), WHOLE WHEAT FLOUR, YEAST, SUGAR, VITAL WHEAT GLUTEN, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: CORNMEAL, SALT, DISTILLED VINEGAR, VEGETABLE OIL (CANOLA AND/OR SOY), YEAST NUTRIENT (AMMONIUM SULFATE), DOUGH CONDITIONER (ASCORBIC ACID), FUMARIC ACID, SODIUM DIACETATE, LACTIC ACID, SILICON DIOXIDE, CALCIUM PROPIONATE AND POTASSIUM SORBATE (MOLD INHIBITORS), CALCIUM SULFATE, ENZYMES.",,61.0,g,,Breads & Buns,LI,,2018-02-16,2021-02-26,United States,,,,
3710,1359620,branded_food,MILK CHOCOLATE,,2021-02-26,"Waymouth Farms, Inc.",GOOD SENSE,,30243630689,"SUGAR, COCOA BUTTER, WHOLE MILK, CHOCOLATE LIQUOR, SOY LECITHIN (AN EMULSIFIER), VANILLA.",,40.0,g,,Chocolate,LI,,2018-01-19,2021-02-26,United States,,,,
3711,1359644,branded_food,SHARP CHEDDAR CHEESE,,2021-02-26,"Wal-Mart Stores, Inc.",GREAT VALUE,,78742159294,"PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO COLOR.",,28.0,g,,Cheese,LI,,2018-04-28,2021-02-26,United States,,,,
3713,1359835,branded_food,"STRAWBERRY FLAVORED SUNDAE CRUNCH BAR, STRAWBERRY",,2021-02-26,"Safeway, Inc.",SIGNATURE SELECT,,21130099726,"SKIM MILK, MILK, SUGAR, BLEACHED WHEAT FLOUR, CORN SYRUP, VEGETABLE OIL (SOYBEAN AND PALM OIL), WHEY, CREAM, BUTTERMILK, HIGH FRUCTOSE CORN SYRUP, CONTAINS LESS THAN 2% OF STRAWBERRIES, NATURAL FLAVORS, MALTODEXTRIN, MALIC ACID, GUAR GUM, HYDROXYPROPYL METHYLCELLULOSE, CAROB BEAN GUM, CELLULOSE GUM, CARRAGEENAN, RED 40, MONO AND DIGLYCERIDES, SALT, BAKING SODA, SOY LECITHIN, ARTIFICIAL FLAVORS, RED 40 LAKE, POLYSORBATE 80, CITRIC ACID, CARAMEL COLOR, VITAMIN A PALMITATE.",,64.0,g,,Ice Cream & Frozen Yogurt,LI,,2018-12-07,2021-02-26,United States,,,,
3715,1360032,branded_food,BANANA PEPPER RINGS,,2021-02-26,John Zidian Company Inc.,GIA RUSSA,,26825006577,"PEPPERS, VINEGAR, WATER, SALT, CALCIUM CHLORIDE, SODIUM BENZOATE (PRESERVATIVE) NATURAL FLAVORINGS, SODIUM METABISULFITE, (PRESERVATIVE), YELLOW #5.",,28.0,g,,"Pickles, Olives, Peppers & Relishes",LI,,2018-01-19,2021-02-26,United States,,,,
3720,1361012,branded_food,SPREADABLE NEW YORK CHEDDAR CHEESE,,2021-02-26,Original Herkimer County Cheese Company Inc,ORIGINAL HERKIMER,,41711022028,"NY CHEDDAR CHEESE (CULTURED MILK, SALT, ENZYMES), CREAM CHEESE (CULTURED MILK, SALT, CAROB BEAN AND/OR XANTHAN AND/OR GUAR GUMS), WATER, WHEY, WING SAUCE (CAYENNE PEPPERS, DISTILLED VINEGAR, SALT, CANOLA OIL, NATURAL BUTTER FLAVOR, XANTHAN GUM, GARLIC, CITRIC ACID), MILK FAT, CHICKEN BOUILLON (SALT, SUGAR AND DEXTROSE, HYDROLYZED CORN PROTEIN, NATURAL FLAVOR (AUTOLYZED YEAST EXTRACT, SALT, SUGAR, WHEY, LACTIC ACID), CHICKEN FAT, DISODIUM INOSINATE AND GUANYLATE, CHICKEN POWDER, CARAMEL COLOR, PARSLEY, TURMERIC, ONION, CELERY, GARLIC), BLUE CHEESE DRESSING (DRIED BLUE CHEESE (CULTURED MILK, SALT, ENZYMES), SALT, MONOSODIUM GLUTAMATE, MODIFIED FOOD STARCH, DRIED ONION, SPICES, DRIED GARLIC, ARTIFICIAL FLAVOR, LESS THAN 2% OF: NATURAL FLAVOR (SOY), CALCIUM STEARATE, GUAR GUM), POTASSIUM SORBATE TO RETARD MOLD, GUAR GUM AND/OR LOCUST BEAN GUM, SALT, DISODIUM PHOSPHATE, CAYENNE PEPPER.",,28.0,g,,Cheese,LI,,2018-10-05,2021-02-26,United States,,,,
3735,1367383,branded_food,COOKIE BUTTER FUDGE,,2021-02-26,"Dierberg's Markets, Inc.",DIERBERGS BAKEHOUSE,,23933678702,"BISCOFF COOKIES (WHEAT FLOUR, SUGAR, VEGETABLE OILS (CONTAINS ONE OR MORE OF SOYBEAN OIL, SUNFLOWER OIL, CANOLA OIL, PALM OIL, PALM KERNEL OIL, HYDROGENATED PALM KERNEL OIL) SOY FLOUR, BROWN SUGAR, SODIUM BICARBONATE (LEAVENING), SALT, CINNAMON), CANOLA OIL, SUGAR, SOY LECITHIN, CITRIC ACID, WHEY POWDER, WHOLE MILK SOLIDS, NONFAT DRY MILK SOLIDS, ARTIFICIAL FLAVOR.",,28.0,g,,Cookies & Biscuits,LI,,2018-04-10,2021-02-26,United States,,,,
3737,1368421,branded_food,SHREDDED CHEESE,,2021-02-26,"Wal-Mart Stores, Inc.",GREAT VALUE,,78742267487,"QUESO QUESADILLA CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO COLOR), POTATO STARCH AND POWDERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR).",,28.0,g,,Cheese,LI,,2018-04-11,2021-02-26,United States,,,,
3740,1369468,branded_food,ICE POPS,,2021-02-26,"Publix Super Markets, Inc.",PUBLIX,,41415356436,"WATER, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, CONTAINS 1% OR LESS OF CITRIC ACID, NATURAL AND ARTIFICIAL FLAVORS, GUAR GUM, CELLULOSE GUM, XANTHAN GUM, RED 40, YELLOW 5, BLUE 1.",,146.0,g,,Ice Cream & Frozen Yogurt,LI,,2018-05-03,2021-02-26,United States,,,,
3742,1369934,branded_food,"TRADITIONAL FRIED PORK SKINS, TRADITIONAL",,2021-02-26,Frito-Lay Company,BAKEN-ETS,,28400037709,"FRIED PORK SKINS, SALT.",,14.0,g,,Other Snacks,LI,,2019-10-22,2021-02-26,United States,,,,
3745,1370724,branded_food,"WHITE CRANBERRY STRAWBERRY FLAVORED JUICE DRINK WITH ANOTHER JUICE FROM CONCENTRATE, WHITE CRANBERRY STRAWBERRY",,2021-02-26,"Ocean Spray Cranberries, Inc.",OCEAN SPRAY,,31200024336,"FILTERED WATER, WHITE GRAPE JUICE (WATER, WHITE GRAPE JUICE CONCENTRATE), SUGAR, WHITE CRANBERRY JUICE (WATER, WHITE CRANBERRY JUICE CONCENTRATE), STRAWBERRY JUICE (WATER, STRAWBERRY JUICE CONCENTRATE), CITRIC ACID, NATURAL FLAVOR, SODIUM CITRATE, ASCORBIC ACID (VITAMIN C), VEGETABLE CONCENTRATE FOR COLOR.",,240.0,ml,,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",LI,,2020-04-08,2021-02-26,United States,,,,
3746,1372548,branded_food,SEASONED PUMPKIN SEEDS,,2021-02-26,Frito-Lay Company,SPITZ,,28400098120,"PUMPKIN SEEDS, SALT, SUGAR, PAPRIKA, MONOSODIUM GLUTAMATE, CORN STARCH, SPICES, ONION POWDER, DEXTROSE, GARLIC POWDER, SUNFLOWER OIL, TURMERIC, AND NATURAL FLAVOR.",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2018-05-03,2021-02-26,United States,,,,
3751,1373097,branded_food,"WHOLE MILK RICOTTA CHEESE, RICOTTA",,2021-02-26,"Topco Associates, Inc.",FOOD CLUB,,36800284333,"PASTEURIZED MILK, PASTEURIZED WHEY, VINEGAR, STABILIZER (MODIFIED FOOD STARCH, GUAR GUM, CARRAGEENAN), SALT.",,62.0,g,,Cheese,LI,,2020-01-09,2021-02-26,United States,,,,
3752,1373106,branded_food,SELECT SPANISH OLIVES STUFFED WITH MINCED LEMON,,2021-02-26,"Goya Foods, Inc.",GOYA,,41331014885,"MANZANILLA OLIVES, WATER, LEMON, MONOSODIUM GLUTAMATE, SALT, CITRIC ACID, SODIUM ALGINATE, LEMON AROMA, LACTIC ACID AND ASCORBIC ACID.",,14.0,g,,"Pickles, Olives, Peppers & Relishes",LI,,2018-06-14,2021-02-26,United States,,,,
3760,1374825,branded_food,STRAWBERRY PINA COLADA FRUIT BARS,,2021-02-26,"Winn-Dixie Stores, Inc.",SE GROCERS,,21140033239,"FRUIT BLEND (STRAWBERRIES, PINEAPPLE, COCONUT CREAM), WATER, CANE SUGAR, GUAR GUM, CAROB BEAN GUM, CITRIC ACID.",,89.0,g,,Ice Cream & Frozen Yogurt,LI,,2018-07-06,2021-02-26,United States,,,,
3768,1375863,branded_food,MILK CHOCOLATE BAR,,2021-02-26,Raley's,RALEY'S,,46567036656,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, COCOA MASS, WHOLE MILK POWDER, SOY LECITHIN [EMULSIFIER], AND NATURAL VANILLA EXTRACT), MAPLE SUGAR (MAPLE SYRUP), BISCUITS (ENRICHED WHEAT FLOUR, SUGAR, DEXTROSE, NONFAT DRY MILK, UNSALTED BUTTER, SALT, AND SUNFLOWER LECITHIN), AND MAPLE SYRUP.",,43.0,g,,Chocolate,LI,,2018-06-14,2021-02-26,United States,,,,
3769,1375929,branded_food,SHREDDED MILD CHEDDAR CHEESE,,2021-02-26,"Schnuck Markets, Inc.",SCHNUCKS,,4131858119,"PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO (VEGETABLE COLOR). POTATO STARCH, CORN STARCH, CALCIUM SULFATE ADDED TO PREVENT CAKING. NATAMYCIN (NATURAL MOLD INHIBITOR).",,28.0,g,,Cheese,LI,,2019-05-06,2021-02-26,United States,,,,
3771,1376073,branded_food,STRAWBERRY FILLED COOKIES,,2021-02-26,McKee Foods Corporation,LITTLE DEBBIE,,24300045219,"ENRICHED BLEACHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), SUGAR, WATER, PALM AND SOYBEAN OILS WITH TBHQ AND CITRIC ACID TO PROTECT FLAVOR, CORN SYRUP, DEXTROSE. CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: STRAWBERRY PUREE, WHEY (MILK), BAKING SODA, EGGS, SALT, APPLE FIBER, PECTIN, SORBIC ACID (TO PRESERVE FRESHNESS), LEMON JUICE CONCENTRATE, CORN STARCH, NATURAL AND ARTIFICIAL FLAVORS, SOY LECITIHIN, NUTMEG, SOY FLOUR, EGG WHITES.",,35.0,g,,Cookies & Biscuits,LI,,2018-07-09,2021-02-26,United States,,,,
3773,1376152,branded_food,"HAMBURGER BUNS, CRACKED PEPPER CHEDDAR",,2021-02-26,"Meijer, Inc.",MEIJER,,708820398962,"ENRICHED FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), NIACIN (VITAMIN B3), FOLIC ACID], WATER, VEGETABLE OIL (PALM, PALM KERNEL), MALTODEXTRIN, NATURAL FLAVORS, MODIFIED FOOD STARCH, SALT, SUGAR, LACTIC ACID, AUTOLYZED YEAST EXTRACT, SUNFLOWER LECITHIN, ANNATTO (FOR COLOR), YEAST, SOYBEAN OIL, CRACKED PEPPER, WHEAT GLUTEN, MONOGLYCERIDES, CALCIUM PROPIONATE (A PRESERVATIVE), VINEGAR, CALCIUM SULFATE, CITRIC ACID, ASCORBIC ACID.",,60.0,g,,Breads & Buns,LI,,2019-01-05,2021-02-26,United States,,,,
3775,1377129,branded_food,SMALL CURD COTTAGE CHEESE,,2021-02-26,Harris-Teeter Inc.,HIGHLAND CREST,,7203673000,"CULTURED NONFAT MILK, MILK, CREAM, CONTAINS LESS THAN 2% OF WHEY, MALTODEXTRIN, GUAR GUM, CITRIC ACID, CARRAGEENAN, MONO AND DIGLYCERIDES, LOCUST BEAN GUM, SALT, NATURAL AND ARTIFICIAL FLAVORS, POTASSIUM SORBATE (PRESERVATIVE), ENZYMES.",,113.0,g,,Cheese,LI,,2019-08-28,2021-02-26,United States,,,,
3778,1377526,branded_food,BUTTERFLY,,2021-02-26,RUSTIC BAKERY INC.,RUSTIC BAKERY,,756963161011,"UNBLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, ENZYME), CANE SUGAR, BUTTER (CREAM, NATURAL FLAVORS), PINK CRYSTAL SUGAR (SUGAR, COLORED WITH VEGETABLE JUICE AND TURMERIC, CARNAUBA WAX), ORGANIC POWDERED SUGAR (ORGANIC SUGAR, ORGANIC CORN STARCH), EGGS (EGGS, CITRIC ACID), SEA SALT, VANILLA EXTRACT (WATER, ALCOHOL, VANILLA BEAN EXTRACT)",,43.0,g,,Cookies & Biscuits,LI,,2018-08-10,2021-02-26,United States,,,,
3784,1378154,branded_food,"ONION BAGELS, ONION",,2021-02-26,Milton G. Waldbaum Company,DAVID'S DELI,,75925401232,"ENRICHED HIGH GLUTEN FLOUR (WHEAT FLOUR, MALTED BARLEY, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, ONION, YEAST, CALCIUM PROPIONATE (PRESERVATIVE), SALT, SUGAR, MONO-DIGLYCERIDES, MALT, ENZYME, CORNMEAL.",,81.0,g,,Breads & Buns,LI,,2019-05-15,2021-02-26,United States,,,,
3788,1378937,branded_food,"MANGO SORBET, MANGO",,2021-02-26,Calip Holdings Inc.,WHOLEFRUIT,,72586331670,"MANGO PUREE, MICRON FILTERED WATER, SUGAR, PECTIN, CITRIC ACID, NATURAL FLAVOR, ANNATTO (FOR COLOR).",,118.0,ml,,Ice Cream & Frozen Yogurt,LI,,2020-04-08,2021-02-26,United States,,,,
3789,1378965,branded_food,"WHITE BREAD, WHITE",,2021-02-26,"Bimbo Bakeries USA, Inc.",SELECT,,78700070906,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, SUGAR, YEAST, SOYBEAN OIL, SALT, CALCIUM PROPIONATE (PRESERVATIVE), MONOGLYCERIDES, DATEM, CALCIUM SULFATE, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, WHEAT GLUTEN, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",,26.0,g,,Breads & Buns,LI,,2019-07-11,2021-02-26,United States,,,,
3792,1379565,branded_food,LIGHTLY SALTED ROASTED ALMONDS,,2021-02-26,Target Stores,ARCHER FARMS,,85239019689,"ALMONDS, VEGETABLE OIL (PEANUT, COTTONSEED, SOYBEAN AND/OR SUNFLOWER SEED), SEA SALT.",,28.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2018-08-13,2021-02-26,United States,,,,
3794,1379891,branded_food,SHELLED ALMONDS,,2021-02-26,"Topco Associates, Inc.",FOOD CLUB,,36800446014,ALMONDS.,,41.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-01-09,2021-02-26,United States,,,,
3796,1380994,branded_food,"MAC & CHEESE A BLEND OF CHEDDAR, AMERICAN AND SWISS SHREDDED CHEESES, MAC & CHEESE",,2021-02-26,"Hy-Vee, Inc.",HY-VEE,,75450146684,"CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO [VEGETABLE COLOR]), PASTEURIZED PROCESS AMERICAN CHEESE (AMERICAN CHEESE [MILK, CHEESE CULTURE, SALT, ENZYMES], WATER, CREAM, SODIUM CITRATE, SALT, SODIUM PHOSPHATE, SORBIC ACID [PRESERVATIVE], COLOR ADDED), SWISS CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), ANTI-CAKING BLEND (POTATO STARCH, CORNSTARCH, CALCIUM SULFATE, NATAMYCIN [A NATURAL MOLD INHIBITOR]).",,28.0,g,,Cheese,LI,,2020-04-20,2021-02-26,United States,,,,
3797,1381050,branded_food,"KOSHER HAMBURGER DILL PICKLE CHIPS, KOSHER HAMBURGER DILL",,2021-02-26,Target Stores,SIMPLY BALANCED,,85239016138,"ORGANIC CUCUMBERS, WATER, ORGANIC VINEGAR, SEA SALT, CALCIUM CHLORIDE (FIRMING AGENT), NATURAL FLAVORS, ORGANIC TURMERIC (FOR COLOR).",,28.0,g,,"Pickles, Olives, Peppers & Relishes",LI,,2019-01-19,2021-02-26,United States,,,,
3799,1381641,branded_food,LAKE SHORE TRAIL MIX,,2021-02-26,"Bergin Nut Company, Inc.",NOT A BRANDED ITEM,,20526046672,"ROASTED ALMONDS (ALMONDS (USA), HIGH OLEIC SUNFLOWER OIL), ROASTED CASHEWS (CASHEWS (VIETNAM), HIGH OLEIC SUNFLOWER OIL), DRIED CRANBERRIES (CRANBERRIES (USA), SUGAR, SUNFLOWER OIL).",,31.0,g,,"Popcorn, Peanuts, Seeds & Related Snacks",LI,,2020-04-13,2021-02-26,United States,,,,
3802,1383544,branded_food,COLONIAL ASSORTMENT,,2021-02-26,"Fannie May Confections, Inc.",FANNIE MAY,,52745728053,"SUGAR, MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE LIQUOR, MILK, SOY LECITHIN AS EMULSIFIER, VANILLA), DARK CHOCOLATE (SUGAR, CHOCOLATE LIQUOR PROCESSED WITH ALKALI, COCOA BUTTER, MILK, BUTTERFAT, SOY LECITHIN AS EMULSIFIER, VANILLA), WATER, CORN SYRUP, BUTTER (CREAM, SALT), ROASTED ALMONDS, PINEAPPLE CHUNKS (PINEAPPLE, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WATER, CITRIC ACID, ARTIFICIAL FLAVOR, BENZOATE OF SODA, SORBIC ACID, SULFUR DIOXIDE), CHOCOLATE LIQUOR, WHITE CONFECTIONERY COATING (SUGAR, FRACTIONATED PALM KERNEL OIL, NON FAT MILK, WHOLE MILK, HYDROGENATED PALM OIL, GLYCEROL-LACTO ESTERS OF FATTY ACIDS AND SOY LECITHIN AS EMULSIFIERS, VANILLA, SALT), SWEETENED CONDENSED MILK (MILK, SUGAR, SKIM MILK), MARASCHINO CHERRIES (CHERRIES, WATER, SUGAR, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVORS, SODIUM BENZOATE AND POTASSIUM SORBATE (AS PRESERVATIVES), RED 40, SULFUR DIOXIDE (AS PRESERVATIVE), FONDANT SUGAR (SUGAR, INVERT SUGAR), WALNUTS, INVERT SUGAR, DARK CHOCOLATE FLAVORED CONFECTIONERY COATING (SUGAR, PALM KERNEL AND/OR PALM OIL, COCOA PROCESSED WITH ALKALI, LACTOSE, SOY LECITHIN AS EMULSIFIER, SORBITAN TRISTEARATE, VANILLA EXTRACT), MILK CHOCOLATE FLAVORED CONFECTIONERY COATING (SUGAR, VEGETABLE OILS (PALM KERNEL, PALM), NON FAT MILK, WHOLE MILK, COCOA PROCESSED WITH ALKALI, SUNFLOWER LECITHIN AS EMULSIFIER VANILLA), PECANS, CREAM (MILK, CREAM, DISODIUM PHOSPHATE, SODIUM CITRATE, CARRAGEENAN), BROWN SUGAR, TOASTED COCONUT (COCONUT, SUGAR, DEXTROSE, SALT), NATURAL STRAWBERRY FLAVOR (STRAWBERRY PUREE, WATER, SUGAR, CORN SYRUP, STRAWBERRY JUICE CONCENTRATE AND OTHER FRUIT JUICE CONCENTRATES, ALCOHOL, MODIFIED CORN STARCH, CITRIC ACID, RED 40, BLUE 1, POTASSIUM SORBATE AND SODIUM BENZOATE (AS PRESERVATIVES), PALM OIL, STRAWBERRY POWDER (STRAWBERRY, SILICON DIOXIDE), NATURAL RASPBERRY FLAVOR (WATER, RASPBERRY JUICE CONCENTRATE, SUGAR, RASPBERRIES, CORN SYRUP, PROPYLENE GLYCOL, CITRIC ACID, ALCOHOL, MODIFIED CORN STARCH, NATURAL FLAVORS, RED 40, BLUE 1,POTASSIUM SORBATE AND SODIUM BENZOATE (AS PRESERVATIVES), SALT, RASPBERRY POWDER, ARTIFICIAL FLAVOR, INVERTASE (GLYCEROL, INVERTASE), NATURAL AND ARTIFICIAL VANILLA FLAVOR, VANILLA EXTRACT, BAKING SODA, YELLOW COLOR (SOY LECITHIN, PROPYLENE GLYCOL, YELLOW 5), PROPYLENE GLYCOL, TBHQ (AN ANTIOXIDANT).",,48.0,g,,Chocolate,LI,,2018-09-09,2021-02-26,United States,,,,
