,fdc_id,data_type,description,food_category_id,publication_date,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1636,666580,branded_food,DARK CHOCOLATE CANDIES,,2019-12-06,Mars Chocolate North America LLC,,,40000304654,"SEMISWEET CHOCOLATE (CHOCOLATE, SUGAR, COCOA BUTTER, SKIM MILK, MILKFAT, LACTOSE, SOY LECITHIN, ARTIFICIAL FLAVORS, SALT), SUGAR, CORNSTARCH, LESS THAN 2% - CORN SYRUP, DEXTRIN, COLORING (INCLUDES RED 40 LAKE, RED 40. BLUE 1, YELLOW 6, BLUE 1 LAKE, YELLOW 5, BLUE 2 LAKE, YELLOW 6 LAKE, YELLOW 5 LAKE, BLUE 2), GUM ACACIA.",,42.0,g,1.5 ONZ,Candy,LI,,2018-09-06,2019-12-06,United States,,,,
1637,666646,branded_food,CHOCOLATE CANDIES,,2019-12-06,Mars Chocolate North America LLC,,,40000315322,"MILK CHOCOLATE (SUGAR, CHOCOLATE, SKIM MILK, COCOA BUTTER, LACTOSE, MILKFAT, SOY LECITHIN, SALT, ARTIFICIAL FLAVORS), SUGAR, CORNSTARCH, LESS THAN 1% - CORN SYRUP, GUM ACACIA, COLORING (INCLUDES RED 40, YELLOW 5, BLUE 1, YELLOW 5 LAKE, RED 40 LAKE, BLUE 1 LAKE, YELLOW 6, BLUE 2 LAKE, YELLOW 6 LAKE, BLUE 2), DEXTRIN.",,42.0,g,1.5 ONZ,Candy,LI,,2019-01-06,2019-12-06,United States,,,,
1638,666828,branded_food,MILK CHOCOLATE ENGLISH TOFFEE MINIATURES,,2019-12-06,"Leaf, Inc.",,,10700062000,"MILK CHOCOLATE (SUGAR; COCOA BUTTER; CHOCOLATE; NONFAT MILK; MILK FAT; LACTOSE; SALT; SOY LECITHIN; VANILLIN, ARTIFICIAL FLAVOR); SUGAR; PALM OIL; DAIRY BUTTER (MILK); ALMONDS (ROASTED IN COCOA BUTTER AND/OR SUNFLOWER OIL); CONTAINS 2% OR LESS OF: SALT; ARTIFICIAL FLAVOR; SOY LECITHIN.",,43.0,g,6 PIECES,Candy,LI,,2019-01-06,2019-12-06,United States,,,,
1642,667756,branded_food,"ORGANIC VANILLA CREME SANDWICH COOKIES, VANILLA",,2019-12-06,Glencourt Inc.,,,79893116006,"ORGANIC WHEAT FLOUR, ORGANIC POWDERED SUGAR WITH ORGANIC CORN STARCH, ORGANIC CANE SUGAR, ORGANIC EXPELLER PRESSED SUNFLOWER AND/OR SAFFLOWER OIL, PALM FRUIT OIL, ORGANIC CANE SYRUP, BAKING SODA, SEA SALT, ORGANIC VANILLA FLAVOR, SOY LECITHIN, NATURAL FLAVOR.",,27.0,g,2 COOKIES,Cookies & Biscuits,LI,,2019-07-11,2019-12-06,United States,,,,
1643,668110,branded_food,"FINELY SHREDDED LOW-MOISTURE PART-SKIM MOZZARELLA CHEESE, MOZZARELLA",,2019-12-06,CHESTNUT HILL,,,32251167423,"PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES, ANTI-CAKING BLEND (POTATO STARCH, CORN STARCH, CALCIUM SULFATE, NATAMYCIN [MOLD INHIBITOR]).",,28.0,g,1/4 cup,Cheese,LI,,2019-07-11,2019-12-06,United States,,,,
1651,671044,branded_food,"12 GRAIN BREAD, 12 GRAIN",,2019-12-06,"BIMBO BAKERIES USA, INC.",,,73130000264,"WHOLE WHEAT FLOUR, WATER, SUGAR, WHOLE GRAINS (WHEAT, RYE, CORN, OATS, MILLET, TRITICALE, BROWN RICE, BARLEY, BUCKWHEAT), WHEAT GLUTEN, SUNFLOWER SEEDS, FLAXSEED, CELLULOSE FIBER, SOYBEAN OIL, YEAST, SALT, PRESERVATIVES (CALCIUM PROPIONATE, SORBIC ACID), DATEM, MONOGLYCERIDES, NATURAL FLAVORS, GRAIN VINEGAR, NUTS [WALNUTS, ALMONDS, HAZELNUTS (FILBERTS)], SOY, CALCIUM SULFATE, REB A (STEVIA LEAF SWEETENER), SOY LECITHIN, WHEY.",,38.0,g,1 SLICE,Breads & Buns,LI,,2019-03-18,2019-12-06,United States,,,,
1653,671528,branded_food,"AGED WHITE CHEDDAR FLAVORED LENTIL CHIPS, AGED WHITE CHEDDAR",,2019-12-06,"Natural Intentions, Inc.",,,858641003450,"LENTIL FLOUR, SUNFLOWER AND/OR SAFFLOWER OIL, CORN FLOUR, RICE FLOUR, POTATO STARCH, CORN STARCH, WHEY POWDER, SEA SALT, CHEDDAR CHEESE (MILK, CULTURES, SALT, ENZYMES), CANE SUGAR, ORGANIC BUTTERMILK POWDER, ROMANO CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), CITRIC ACID, GREEN PEPPER POWDER, POTATO MALTODEXTRIN, SOYBEAN OIL, NATURAL FLAVOR.",,28.0,g,1 ONZ,"Chips, Pretzels & Snacks",LI,,2019-10-07,2019-12-06,United States,,,,
1655,672420,branded_food,"WHITE MYSTERY BITES CANDY, WHITE MYSTERY",,2019-12-06,Perfetti Van Melle USA Inc.,,,73390014599,"SUGAR, GLUCOSE SYRUP, MALTODEXTRIN, DEXTROSE, HYDROGENATED COCONUT OIL; CONTAINS LESS THAN 2% OF: CITRIC ACID, MODIFIED CORN STARCH, SORBITOL, ARTIFICIAL FLAVORS, GLYCEROL, RICE STARCH, CARNAUBA WAX, BEESWAX, SHELLAC, GELLAN GUM, SUCROSE ESTERS OF FATTY ACIDS, RED 40, YELLOW 6, BLUE 1, YELLOW 5.",,57.0,g,1 BAG,Candy,LI,,2019-01-18,2019-12-06,United States,,,,
1659,674018,branded_food,"COLD BREW COFFEE ICE CREAM, CHILLIN THE ROAST TRUFFLES",,2019-12-06,Ben & Jerry's Homemade Inc.,,,76840000722,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, EGG YOLKS, BUTTER (CREAM, SALT), COFFEE, WHEAT FLOUR, MILK PROTEIN CONCENTRATE, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, GUAR GUM, NATURAL FLAVOR, SALT, CORN STARCH, CANOLA OIL, RUM, SOY LECITHIN, CHOCOLATE, BAKING SODA, CARRAGEENAN.",,104.0,g,0.5 cup,Ice Cream & Frozen Yogurt,LI,,2019-01-12,2019-12-06,United States,,,,
1661,674568,branded_food,"DONITAS FLAVORED WHEAT SNACK, HOT CHILI",,2019-12-06,TOTIS,,,643795544948,"WHEAT FLOUR, VEGETABLE OIL (PALM OIL), CORN STARCH, SEASONING [MALTODEXTRIN, NATURAL AND ARTIFICIAL FLAVORS, IODIZED SALT, SUGAR, CHILI POWDER, ACIDULANTS (CITRIC ACID AND MALIC ACID), FLAVOR ENHANCERS (MONOSODIUM GLUTAMATE, DISODIUM GUANYLATE AND INOSINATE), WHEY POWDER, BAKING SODA, SODIUM DIACETATE, ONION POWDER, COLORED WITH (RED NO 40 LAKE, YELLOW NO 6 LAKE AND YELLOW NO 5), GARLIC POWDER, ANTI-CAKING (SILICON DIOXIDE AND CALCIUM SILICATE), VEGETAL OIL (SOYBEAN OIL L) AND CARAMEL COLOR], IODIZED SALT, LEAVENING (BAKING SODA, CALCIUM SULFATE, ALUMINUM SODIUM SULFATE AND MONOCALCIUM PHOSPHATE), DOUGH CONDITIONERS [CALCIUM SULFATE, DIACETYL TARTARIC ACID ESTER OF MONO AND DIGLYCERIDES (DATEM), WHEAT FLOUR, CALCIUM CARBONATE, ASCORBIC ACID, ENZYMES, AZODICARBONAMIDE (0.0025%) AS A WHITENING AGENT] AND COLORED WITH YELLOW NO 6.",,50.0,g,1 PACKAGE,"Chips, Pretzels & Snacks",LI,,2019-07-10,2019-12-06,United States,,,,
