fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1954779,Brookshire Grocery Company,BROOKSHIRE'S,,9282592125,SPINACH.,,81.0,g,,Frozen Vegetables,LI,12 oz/340 g,2019-05-06,2021-07-29,United States,,,,
1954908,Brodofication LLC,BRODO,,859922006009,ORGANIC CHICKEN BONE BROTH.,"NOT A SIGNIFICANT SOURCE OF SATURATED FAT, TRANS FAT, CHOLESTEROL, DIETARY FIBER, SUGARS, VITAMIN A, AND CALCIUM.",240.0,g,,Frozen Dinners & Entrees,LI,30 oz/850 g,2019-09-13,2021-07-29,United States,,,,
1954982,"Atkins Nutritionals, Inc.",ATKINS,,637480035453,"MILK PROTEIN ISOLATE, PALM KERNEL OIL, POLYDEXTROSE, WHEY PROTEIN ISOLATE, PALM OIL, CANOLA OIL, PEANUTS, PEANUT OIL, ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, FOLIC ACID), CONTAINS LESS THAN 2% OF SODIUM CASEINATE, WHEY POWDER, SALT, SOY LECITHIN, NATURAL FLAVORS, ALMOND PROTEIN POWDER, SUCRALOSE, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE, CALCIUM SULFATE), MONO AND DIGLYCERIDES, MIXED TOCOPHEROLS (TO MAINTAIN FRESHNESS), AMMONIUM BICARBONATE.",,36.0,g,,"Snack, Energy & Granola Bars",LI,6.35 OZ/180 g,2020-11-20,2021-07-29,United States,,,,
1955657,"Wal-Mart Stores, Inc.",MEMBER'S MARK,,78742292991,JASMINE RICE.,,50.0,g,,Rice,LI,50 lbs/22.68 kg,2018-09-06,2021-07-29,United States,,,,
1955994,"C.M.U. & Associates, Inc.",,,664183005537,"WILD-CAUGHT SKIPJACK TUNA, SALT, SODIUM NITRITE",,28.0,g,,Fish & Seafood,LI,8 oz/227 g,2021-03-23,2021-07-29,United States,,,,
1956081,"Safeway, Inc.",WATERFRONT BISTRO,,21130127184,"BREADED SHRIMP (SHRIMP [LITOPENAEUS VANNAMEI], {SHRIMP, SODIUM TRIPOLYPHOSPHATE (TO RETAIN MOISTURE), SALT, RICE FLOUR}, WHEAT FLOUR, MODIFIED FOOD STARCH, ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], SOYBEAN OIL, RICE FLOUR, SALT, SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, YEAST, ASCORBIC ACID, ANNATTO EXTRACT [COLOR]), SAUCE (WATER, TOMATO, MOLASSES, SUGAR, BROWN SUGAR [SUGAR, MOLASSES], CHILI SAUCE [RED CHILI, SUGAR, SALT, GARLIC, FISH EXTRACT {ANCHOVY}, ACETIC ACID, ASCORBIC ACID], GARLIC [GARLIC, CANOLA OIL], WHITE DISTILLED VINEGAR, CORN STARCH, SEA SALT, NATURAL SMOKE FLAVOR, WORCESTERSHIRE SAUCE [DISTILLED VINEGAR, MOLASSES, CORN SYRUP, WATER, SALT, CARAMEL COLOR, GARLIC POWDER, SUGAR, SPICES, TAMARIND, NATURAL FLAVOR], GARLIC POWDER, HABANERO CHILI PEPPER, ONION POWDER, CANOLA OIL, ORGANIC CARAMEL COLOR, CAYENNE PEPPER, BLACK PEPPER, XANTHAN GUM).",,113.0,g,,Frozen Fish & Seafood,LI,12 oz/340 g,2018-09-06,2021-07-29,United States,,,,
1956964,"Impact Confections, Inc.",WARHEADS,,32134233245,"CORN SYRUP, SUGAR, MICROENCAPSULATED MALIC ACID (MALIC ACID, HYDROGENATED PALM OIL), CITRIC ACID, GUM ACACIA, SOYBEAN OIL (PROCESSING AID), ASCORBIC ACID, ARTIFICIAL FLAVORS, CARNAUBA WAX, CORN STARCH, BLUE 1, RED 40, YELLOW 5.",,16.0,g,,Candy,LI,8 oz/227 g,2018-09-06,2021-07-29,United States,,,,
1957025,YummyEarth Inc.,YUMEARTH,,810165017689,"ORGANIC RICE SYRUP, ORGANIC CANE SUGAR, PECTIN, CITRIC ACID, ASCORBIC ACID, NATURAL FLAVORS, ORGANIC COLOR FROM CONCENTRATE (APPLE, CARROT, PUMPKIN, BLACKCURRANT), ORGANIC SUNFLOWER OIL, ORGANIC CARNAUBA WAX.",,14.170000076293944,g,,Candy,LI,12 oz/340.2 g,2018-09-06,2021-07-29,United States,,,,
1957133,"Orgain, Inc.",ORGAIN,KIDS,851770008136,"ORGANIC WHOLE GRAIN OATS, ORGANIC TAPIOCA FIBER, ORGANIC CHOCOLATE CHIPS (ORGANIC CANE SUGAR, ORGANIC CHOCOLATE LIQUOR, ORGANIC COCOA BUTTER, SUNFLOWER LECITHIN, ORGANIC VANILLA EXTRACT), ORGANIC RAISINS, ORGANIC ERYTHRITOL, ORGANIC TAPIOCA STARCH, ORGANIC SUNFLOWER OIL, ORGANIC VEGETABLE GLYCERIN, ORGANIC CANE SUGAR, ORGANIC FLAXSEED, NATURAL FLAVORS, ORGANIC PEA PROTEIN, ORGANIC SUNFLOWER LECITHIN, ORGANIC ACACIA GUM, SEA SALT, BAKING SODA",,36.0,g,,"Snack, Energy & Granola Bars",LI,1.27 oz/360 g,2020-03-14,2021-07-29,United States,,,,
1957626,"Wal-Mart Stores, Inc.",MARKETSIDE,,681131277518,"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, ASCORBIC ACID ADDED AS A DOUGH CONDITIONER, THIAMINE MONONITRATE, RIBOFLAVIN, ENZYME, FOLIC ACID), WATER, SUGAR, EGGS, SWEETENED DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), PECANS, CANOLA OIL, YEAST EXTRACT, SALT WITH YELLOW PRUSSIATE OF SODA, BREAD IMPROVER BLEND (ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], CORN SYRUP SOLIDS, VITAL WHEAT GLUTEN, CALCIUM STEAROYL-2-LACTYLATE, HYDROLYZED VITAL WHEAT GLUTEN, MONOGLYCERIDES, CALCIUM SULFATE, ENZYMES, SALT), CALCIUM PROPIONATE PRESERVATIVE, VINEGAR.",,56.0,g,,Breads & Buns,LI,20 oz/567 g,2018-11-01,2021-07-29,United States,,,,
