date,open,high,low,close,volume,vwap,transactions
2024-03-14,52.72,53.04,50.94,51.53,917180.0,51.8777,13833
2024-03-15,50.6,51.21,49.6,50.31,1891114.0,50.3573,18361
2024-03-18,50.0,51.185,49.5,51.08,793856.0,50.7189,15683
2024-03-19,50.97,51.64,50.53,50.9,749932.0,50.8944,11479
2024-03-20,51.01,51.99,50.58,51.18,488067.0,51.2456,10323
2024-03-21,51.81,51.885,50.375,50.45,1098641.0,50.9736,15331
2024-03-22,50.66,50.69,48.99,49.17,836493.0,49.5437,13004
2024-03-25,49.09,49.37,47.98,48.11,826479.0,48.4482,12975
2024-03-26,48.58,49.81,47.64,49.32,855404.0,48.8354,14772
2024-03-27,49.64,49.84,48.4,48.71,458438.0,48.641,7321
2024-03-28,48.37,49.7789,48.21,49.04,522510.0,49.1368,8337
2024-04-01,49.19,49.68,48.59,49.18,526233.0,49.1317,9531
2024-04-02,48.28,48.65,47.66,48.45,410257.0,48.3395,8066
2024-04-03,48.13,48.72,47.895,48.64,341275.0,48.5337,7625
2024-04-04,49.25,49.735,47.82,47.96,467662.0,48.3491,6602
2024-04-05,47.98,48.99,47.71,48.76,404594.0,48.645,6577
2024-04-08,48.66,49.19,48.04,48.86,416738.0,48.7917,8419
2024-04-09,48.88,50.55,48.88,50.35,535715.0,50.1701,10639
2024-04-10,49.07,50.3,48.985,50.02,704028.0,49.8774,11570
2024-04-11,50.25,50.395,49.31,50.29,429970.0,50.0289,7922
2024-04-12,49.75,49.88,47.72,47.9,542003.0,48.2688,11223
2024-04-15,48.0,48.0,45.7,45.75,1007119.0,46.3696,13592
2024-04-16,45.16,45.31,43.685,44.18,972119.0,44.2078,15703
2024-04-17,44.42,45.0,43.705,43.8,594769.0,44.042,12710
2024-04-18,44.01,44.56,43.44,44.15,547911.0,44.1676,9575
2024-04-19,44.1,44.37,43.6016,44.31,360604.0,44.1457,8313
2024-04-22,45.33,45.55,44.05,44.72,548159.0,44.6261,8315
2024-04-23,44.68,46.5594,44.13,46.17,521644.0,46.0082,9861
2024-04-24,46.1,46.96,46.05,46.49,486313.0,46.5058,10678
2024-04-25,45.49,46.245,45.16,45.85,516187.0,45.8639,10417
2024-04-26,45.82,46.535,45.76,45.93,375709.0,46.1005,8071
2024-04-29,46.0,46.58,45.36,45.68,408176.0,45.7721,8503
2024-04-30,45.38,46.16,44.77,44.8,928101.0,45.115,10873
2024-05-01,45.08,46.17,44.65,44.88,503124.0,45.1263,9616
2024-05-02,45.39,45.64,44.15,44.7,526535.0,44.6294,10867
2024-05-03,45.6,45.65,44.12,45.21,1107794.0,44.9845,14560
2024-05-06,45.68,46.84,45.525,46.21,727527.0,46.1397,12419
2024-05-07,45.95,46.3915,45.3,45.8,634370.0,45.8956,12396
2024-05-08,40.5,41.755,35.22,38.0,9294178.0,37.5299,80250
2024-05-09,38.19,39.76,37.65,37.94,2348033.0,38.5565,28946
2024-05-10,38.11,38.62,37.47,37.85,1434402.0,37.9981,19815
2024-05-13,37.79,38.445,36.89,37.08,1179079.0,37.5737,15591
2024-05-14,37.41,38.205,36.92,38.11,884685.0,37.7534,12931
2024-05-15,38.52,39.62,37.25,39.38,2327532.0,38.4718,22479
2024-05-16,39.25,39.28,37.66,39.12,1068733.0,38.7236,17462
2024-05-17,39.08,39.2,37.98,38.11,731841.0,38.3651,13385
2024-05-20,37.99,39.59,37.775,39.56,951854.0,39.0474,14791
2024-05-21,39.22,39.22,37.82,38.08,1119415.0,38.1873,12332
2024-05-22,39.05,39.34,37.99,38.28,635295.0,38.4896,12083
2024-05-23,38.27,38.6,37.625,37.98,618199.0,37.9398,12564
2024-05-24,38.11,38.29,37.53,38.02,802865.0,38.0117,11400
2024-05-28,37.87,37.94,37.18,37.7,934983.0,37.6993,12357
2024-05-29,37.13,37.945,36.6101,37.51,1460215.0,37.2745,18234
2024-05-30,37.77,37.77,35.68,36.02,1167227.0,36.1492,19637
2024-05-31,36.21,36.65,35.76,36.14,903166.0,36.0928,13543
2024-06-03,36.43,36.71,35.44,35.57,1048090.0,35.9002,14413
2024-06-04,35.81,36.035,35.13,35.16,935500.0,35.4231,18523
2024-06-05,35.6,36.57,35.33,36.15,728639.0,36.1299,15355
2024-06-06,35.35,36.25,35.08,36.02,958702.0,35.8442,12669
2024-06-07,35.75,37.75,35.39,37.64,1063202.0,37.0555,16860
2024-06-10,37.52,38.67,37.335,37.65,1029312.0,37.717,19175
2024-06-11,37.44,38.405,37.29,38.28,634134.0,37.9333,13173
2024-06-12,39.22,39.28,38.07,38.44,659871.0,38.5316,16657
2024-06-13,38.62,38.62,37.26,37.72,1095585.0,37.7019,13526
2024-06-14,37.2,37.285,36.07,36.61,1502859.0,36.6067,21734
2024-06-17,36.55,36.89,35.66,36.73,1111417.0,36.4801,16310
2024-06-18,36.42,36.81,36.05,36.33,1014802.0,36.3461,15254
2024-06-20,36.32,36.89,35.77,36.84,987508.0,36.6295,15900
2024-06-21,36.66,38.55,36.57,38.12,4646489.0,38.0825,20035
2024-06-24,37.82,38.58,37.82,38.5,937285.0,38.3388,13540
2024-06-25,38.57,38.6506,37.73,37.98,868423.0,38.0918,13537
2024-06-26,37.75,41.88,37.19,40.55,3996488.0,40.4089,44223
2024-06-27,40.59,42.9,40.4,42.7,1363614.0,42.2625,24281
2024-06-28,43.16,44.28,42.99,43.23,2548490.0,43.529,27043
2024-07-01,43.23,43.445,42.49,43.17,733084.0,43.0535,14211
2024-07-02,43.03,43.72,42.29,42.72,550094.0,42.7077,13003
2024-07-03,42.77,42.98,41.82,41.96,254621.0,42.1855,5592
2024-07-05,41.5,42.5,41.22,41.95,446974.0,42.0742,9077
2024-07-08,41.88,41.88,40.75,41.06,510733.0,41.1071,9143
2024-07-09,41.09,41.09,39.3,39.72,1254295.0,39.7168,14166
2024-07-10,40.52,40.655,38.28,39.18,1281653.0,38.9588,15270
2024-07-11,40.43,41.24,39.68,40.15,1088659.0,40.2539,18408
2024-07-12,40.53,41.18,40.21,40.23,435544.0,40.4841,8577
2024-07-15,40.57,40.88,40.09,40.22,606143.0,40.3369,9792
2024-07-16,40.28,41.39,39.511,41.26,603473.0,40.8997,11299
2024-07-17,40.72,41.3021,40.41,40.82,578004.0,40.8842,11803
2024-07-18,40.7,41.19,39.985,40.32,924124.0,40.306,13246
2024-07-19,40.57,40.81,39.86,40.0,449594.0,40.0589,8026
2024-07-22,40.05,40.24,38.6,39.99,981533.0,39.77,12542
2024-07-23,40.11,40.53,39.86,40.23,578083.0,40.25,8384
2024-07-24,40.2,40.5799,38.78,38.84,322958.0,39.1646,6278
2024-07-25,39.15,40.54,38.99,39.73,402486.0,39.7599,9520
2024-07-26,40.31,40.31,39.33,39.52,448146.0,39.6175,8045
2024-07-29,39.69,39.99,38.465,38.62,637140.0,38.8213,12519
2024-07-30,39.04,40.08,38.88,39.54,749912.0,39.4288,12312
2024-07-31,39.91,39.96,39.09,39.34,726052.0,39.384,11670
2024-08-01,37.625,37.8,35.66,35.73,1878848.0,36.4489,25042
2024-08-02,34.31,35.33,33.34,35.28,1140952.0,34.7193,19969
2024-08-05,33.22,34.84,32.99,33.44,1075957.0,33.8805,19605
2024-08-06,33.85,33.85,32.945,33.02,1686861.0,33.2637,24548
2024-08-07,35.56,39.44,35.25,36.3,2442471.0,36.907,30483
2024-08-08,36.17,37.06,35.69,36.77,681442.0,36.7027,11315
2024-08-09,36.7,37.03,36.09,36.16,472018.0,36.3777,9223
2024-08-12,36.03,36.09,34.77,35.13,449391.0,35.1778,8993
2024-08-13,35.53,36.78,35.3,36.47,902521.0,36.4138,11555
